,Item Name,ItemID,Sale Price,Customer Ratings,Number of Reviews,Offer Type,Department,Shipping Rate,Normal Shipping,Marketplace
2003,Oh! Mamma Maternity Plus-Size Full-Panel Basic Super Soft Straight-Leg Jeans,41690245,18.99,3.182,11,ONLINE_ONLY,Clothing,5.99,True,False
2004,Oh! Mamma Maternity Demi-Panel Super Soft Straight Leg Jeans,37184820,15.99,4.273,22,ONLINE_ONLY,Clothing,5.99,True,False
2005,Planet Motherhood Maternity Demi-Panel Career Pants with Belt Loops,36762371,13.99,3.5,16,ONLINE_ONLY,Clothing,5.99,True,False
2006,Oh! Mamma Maternity Full Panel Destructed Boyfriend Jeans,55807349,15.99,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2007,Oh Mamma Maternity Full Panel Stretch 5 Pocket Boyfriend Jeans,55807308,12.99,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2008,Oh Mamma Maternity Full Panel Stretch Soft 5 Pocket Colored Twill Pants,55807370,15.99,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2009,Oh! Mamma Maternity Plus-Size Full Panel Classic Stretch Twill Straight Leg Career Pants,55791550,18.0,5.0,2,ONLINE_ONLY,Clothing,5.99,True,False
2010,Loving Moments by Leading Lady Maternity Nursing Sleep Bra,29740853,11.94,3.859,85,ONLINE_ONLY,Clothing,5.99,False,False
2011,Q-T Intimates Maternity Seamless Nursing Bra with Removable Pads,42313015,16.69,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2012,Smooth & Skinny Labor of Love Maternity Seamless Full Panel Briefs--Available in Plus Sizes,37518780,8.88,4.846,13,ONLINE_ONLY,Clothing,5.99,True,False
2013,Nurture by Lamaze Maternity Wire free Soft cup Comfort Nursing Bra,52130022,7.86,4.0,6,ONLINE_ONLY,Clothing,5.99,False,False
2014,Oh! Mamma Maternity Plus-Size Full-Panel Basic Super Soft Straight-Leg Jeans,41690245,18.99,3.182,11,ONLINE_ONLY,Clothing,5.99,True,False
2015,Oh Mamma Maternity Plus-size Full Panel Fashion Skinny Jeans with Frayed Hems,55807343,12.99,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2016,Planet Motherhood Maternity Plus-Size Full-Panel 5-Pocket Bootcut Jeans,41288992,18.0,3.6,15,ONLINE_ONLY,Clothing,5.99,False,False
2017,Oh! Mamma Maternity Plus-Size Demi-Panel Basic Super Soft Skinny Jeans,41693237,15.99,4.333,3,ONLINE_ONLY,Clothing,5.99,True,False
2018,Oh! Mamma Maternity Plus-Size Demi-Panel Basic Super Soft Straight-Leg Jeans,41693528,17.0,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2019,Oh! Mamma Maternity Plus-Size Full-Panel Basic Super Soft Skinny Jeans,44413952,18.0,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2020,"""Chili Peppers Maternity 3-pc """"Baby Mama"""" T-Shirt With Pants and Shorts Sleep Set Pajamas""",55984878,9.99,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2021,"""Chili Peppers Maternity 3-pc """"We're Hungry Again"""" T-shirt w/ Pants & Shorts Sleep Set Pajamas""",55984898,9.99,3.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2022,"Loving Moments by Leading Lady Maternity Nursing Sleep Bra, 2-Pack",45089365,16.0,3.859,85,ONLINE_ONLY,Clothing,5.99,True,False
2023,Labor of Love Maternity Essential Seamless Nursing Cami with Removable Pads-- Available in Plus Size,45154711,9.99,3.0,9,ONLINE_ONLY,Clothing,5.99,True,False
2024,Loving Moments by Leading Lady Maternity Seamless Nursing Bra with Removable Pads,49653043,7.99,4.9,10,ONLINE_AND_STORE,Clothing,5.99,True,False
2025,Loving Moments by Leading Lady Maternity Nursing Cami with Built-in Shelf Bra,28339271,12.99,4.106,615,ONLINE_ONLY,Clothing,5.99,True,False
2026,Catalina Maternity Tankini Swimsuit Swimsuit Top With Ruched Sides & Adjustable Ties,55508738,18.97,5.0,1,ONLINE_ONLY,Clothing,5.99,False,False
2027,Catalina Maternity Ruched Hipkini Swimsuit Bottom,55508669,11.97,1.0,2,ONLINE_ONLY,Clothing,5.99,False,False
2028,Loving Moments by Leading Lady Postpartum Shaping Nursing Tank,45996975,10.0,4.0,3,ONLINE_AND_STORE,Clothing,5.99,True,False
2029,"Loving Moments by Leading Lady Maternity Babydoll Nursing Tank, 2-Pack",45089374,20.99,4.259,27,ONLINE_ONLY,Clothing,5.99,True,False
2030,Loving Moments by Leading Lady Maternity Seamless Nursing Bra with Removable Pads,49653043,7.99,4.9,10,ONLINE_AND_STORE,Clothing,5.99,True,False
2031,Loving Moments by Leading Lady Maternity Babydoll Nursing Tank with Lace Trim and Full Sling,50941902,10.99,4.049,268,ONLINE_AND_STORE,Clothing,5.99,True,False
2032,Loving Moments by Leading Lady Maternity Nursing Athleisure Bra,49653029,13.44,4.417,12,ONLINE_AND_STORE,Clothing,5.99,True,False
2033,"Loving Moments by Leading Lady Maternity Wirefree Softcup Nursing Bra with Full Sling, 2-Pack",49653104,16.98,4.469,341,ONLINE_AND_STORE,Clothing,5.99,True,False
2034,Loving Moments by Leading Lady Maternity Nursing Cami with Built-in Shelf Bra,28339271,12.99,4.106,615,ONLINE_ONLY,Clothing,5.99,True,False
2035,"Loving Moments by Leading Lady Maternity Nursing Sleep Bra, 2-Pack",45089365,16.0,3.859,85,ONLINE_ONLY,Clothing,5.99,True,False
2036,"Pregnancy Pillow, Full Body Maternity Pillow with Contoured U-Shape by Bluestone, Back Support",54695348,33.6,3.8,15,ONLINE_ONLY,Clothing,5.99,False,False
2037,Leachco MaternAlign Contoured Maternity Body Pillow Vintage Natural,25634555,59.97,4.208,53,ONLINE_AND_STORE,Clothing,0.0,True,False
2038,"Gildan Big Men's Elastic Bottom Pocketed Sweatpant, 2XL",47005317,7.22,4.667,3,ONLINE_ONLY,Clothing,5.99,False,False
2039,"Gildan Big Men's Open Bottom Pocketed Sweatpant, 2XL",47023359,10.5,2.0,8,ONLINE_ONLY,Clothing,5.99,False,False
2040,"Gildan Men's Heavyweight White Crew Socks, 10-Pack",46851412,9.5,4.875,16,ONLINE_AND_STORE,Clothing,5.99,True,False
2041,Fruit of the Loom Men's Crew Socks Value 12-Pack,169382936,9.98,3.0,2,ONLINE_AND_STORE,Clothing,5.99,True,False
2042,Hanes Men's Cushion No Show Socks 12-Pack,25710669,12.56,3.653,49,ONLINE_AND_STORE,Clothing,5.99,True,False
2043,Hanes Men's Cushion FreshIQ Crew Socks 12-Pack,25710662,12.56,3.844,500,ONLINE_AND_STORE,Clothing,5.99,True,False
2044,Athletic Works Men's Crew Socks 10-Pack,121506339,8.32,4.286,7,ONLINE_AND_STORE,Clothing,5.99,True,False
2045,Athletic Works Men's Crew Socks 6-Pack,123176148,6.99,4.341,44,ONLINE_AND_STORE,Clothing,5.99,True,False
2046,Hanes Men's Cushion FreshIQ Ankle Socks 12-Pack,25710665,12.56,3.892,74,ONLINE_AND_STORE,Clothing,5.99,False,False
2047,Hanes Men's Comfortblend Low Cut Socks 6-Pack,51445499,9.98,4.412,34,ONLINE_AND_STORE,Clothing,5.99,True,False
2048,George - Men's Suit Jacket,13279256,45.0,4.432,176,ONLINE_AND_STORE,Clothing,0.0,True,False
2049,"Gildan Men's Workwear Short Sleeve Pocket Tee, 2-Pack",44659721,9.94,4.125,8,ONLINE_AND_STORE,Clothing,5.99,False,False
2050,Hanes Men's X-Temp Thermal Underwear Unionsuit,27678910,11.5,4.423,111,ONLINE_ONLY,Clothing,5.99,False,False
2051,Hanes Men's Tagless Crewneck Undershirt (6-Pack),23608620,17.0,4.306,196,ONLINE_AND_STORE,Clothing,5.99,True,False
2052,Hanes Big Men's X-Temp Thermal Underwear Unionsuit,27678861,11.5,4.233,30,ONLINE_ONLY,Clothing,5.99,False,False
2053,Hanes Men's X-Temp Thermal Underwear Crew Tee,27678930,6.0,4.042,168,ONLINE_ONLY,Clothing,5.99,True,False
2054,Hanes Men's TAGLESS�� ComfortSoft�� White Undershirt 6-Pack,25735901,14.0,3.736,140,ONLINE_AND_STORE,Clothing,5.99,False,False
2055,Hanes Men's Superior Softness ComfortBlend Crew Undershirt 3-Pack,103859769,11.97,4.554,121,ONLINE_AND_STORE,Clothing,5.99,True,False
2056,"Hanes Big Men's Superior Softness ComfortBlend Crew Undershirt 3-Pack, 2XL",113127019,11.97,4.594,106,ONLINE_AND_STORE,Clothing,5.99,False,False
2057,"Gildan Men's Workwear Short Sleeve Pocket Tee, 2-Pack",44659721,9.94,4.125,8,ONLINE_AND_STORE,Clothing,5.99,False,False
2058,Stanley Men's 5 Pocket Denim Jean Lined In Anti Pill- Fleece,55005021,22.48,5.0,1,ONLINE_ONLY,Clothing,5.99,False,False
2059,George Girls' School Uniforms Short Sleeve Polo Shirt,44888584,4.15,4.689,1112,ONLINE_AND_STORE,Clothing,5.99,True,False
2060,George Boys School Uniforms Flat Front Pants,45000601,8.0,4.826,23,ONLINE_AND_STORE,Clothing,5.99,True,False
2061,George Girls' School Uniforms Skinny Pants,16519651,11.97,4.369,130,ONLINE_AND_STORE,Clothing,5.99,True,False
2062,George Boys School Uniforms Husky Size Long Sleeve Polo Shirt,45000414,6.97,4.0,3,ONLINE_ONLY,Clothing,5.99,True,False
2063,"George Girls' School Uniforms, Belted Pleated Scooter",44888292,8.97,3.75,8,ONLINE_AND_STORE,Clothing,5.99,False,False
2064,Brahma Men's Adan Steel Toe Low Work Shoe,34518098,19.0,3.429,21,ONLINE_AND_STORE,Clothing,5.99,True,False
2065,Tredsafe Men's Manon Slip-Resistant Step-In Shoe,46360331,27.98,2.429,7,ONLINE_AND_STORE,Clothing,5.99,True,False
2066,Danskin Now Women's Memory Foam Slip-on Athletic Shoe,51630300,12.88,4.505,210,ONLINE_AND_STORE,Clothing,5.99,True,False
2067,Sloggers Women's Sloggers Waterproof Rain Shoes,19364928,24.95,4.614,127,ONLINE_ONLY,Clothing,5.99,False,False
2068,Women's Wide Width Casual Mary Jane Shoe,289287174,7.1,4.75,4,ONLINE_AND_STORE,Clothing,5.99,False,False
2069,Brahma Men's Adan Steel Toe Low Work Shoe,34518098,19.0,3.429,21,ONLINE_AND_STORE,Clothing,5.99,True,False
2070,Faded Glory Women's Combat Boot,758068728,19.97,5.0,1,ONLINE_ONLY,Clothing,5.99,True,False
2071,Brinley Co. Girls' Buckle-Strap Mid-Calf Riding Boots,56113153,13.88,5.0,1,ONLINE_ONLY,Clothing,5.99,False,False
2072,Herman Survivor Men's Big Timber Boot,55206469,40.0,4.0,1,ONLINE_AND_STORE,Clothing,0.0,True,False
2073,Faded Glory Women's Suede Boot,50921611,14.0,5.0,5,ONLINE_AND_STORE,Clothing,5.99,False,False
2074,Men's Interceptor Kentin Boot,55333386,42.97,3.429,7,ONLINE_AND_STORE,Clothing,0.0,True,False
2075,Brahma Men's Raid Steel Toe Work Boot,50271241,16.0,3.833,6,ONLINE_AND_STORE,Clothing,5.99,True,False
2076,Ozark Trail Men's Troy Boot,50921590,15.0,3.417,12,ONLINE_AND_STORE,Clothing,5.99,True,False
2077,Faded Glory Boys' Cowboy Boot,416790603,17.97,3.0,1,ONLINE_AND_STORE,Clothing,5.99,True,False
2078,Genuine Dickies Men's JobRated Maxx Waterproof Work Boot,43160403,110.0,3.625,16,ONLINE_AND_STORE,Clothing,0.0,False,False
2079,Fruit of the Loom Big Men's Dual Defense Elastic Bottom Sweatpants,223972480,5.96,4.391,276,ONLINE_AND_STORE,Clothing,5.99,False,False
2080,Fruit of the Loom Men's Dual Defense Elastic Bottom Sweatpants,596610524,5.96,4.489,924,ONLINE_AND_STORE,Clothing,5.99,False,False
2081,Hanes Men's EcoSmart Elastic Bottom 32 Inch Inseam Sweatpants,54188385,7.73,3.826,356,ONLINE_ONLY,Clothing,5.99,False,False
2082,"Gildan Big Men's Elastic Bottom Pocketed Sweatpant, 2XL",47005317,7.22,4.667,3,ONLINE_ONLY,Clothing,5.99,False,False
2083,Gildan Men's Elastic Bottom Pocketed Sweatpant,47005410,6.97,2.692,13,ONLINE_ONLY,Clothing,5.99,False,False
2084,Hanes Women's Cinched Leg Fleece Sweatpant,55172624,7.0,3.463,82,ONLINE_ONLY,Clothing,5.99,False,False
2085,Hanes Women's Essential Fleece Sweatpant Available in Regular and Petite,837310034,4.0,4.084,1161,ONLINE_AND_STORE,Clothing,5.99,False,False
2086,Hanes Men's EcoSmart Fleece Sweatpant with Pockets,54188471,8.0,4.302,96,ONLINE_AND_STORE,Clothing,5.99,False,False
2087,Hanes Women's Essential Fleece Sweatpant available in Regular and Petite,52380638,4.5,4.333,3,ONLINE_AND_STORE,Clothing,5.99,False,False
2088,Hanes Women's Essential Crewneck Fleece Pullover Sweatshirt,52380966,4.0,1.0,1,ONLINE_AND_STORE,Clothing,5.99,False,False
2089,Gildan Women's Fleece Sweatshirt,48181030,9.0,4.25,4,ONLINE_ONLY,Clothing,5.99,False,False
2090,Hanes Women's Fleece Full Zip Hoodie,481798665,10.88,4.164,286,ONLINE_AND_STORE,Clothing,5.99,False,False
2091,Hanes Women's Fleece V-Notch Sweatshirt,45585052,5.96,4.022,551,ONLINE_AND_STORE,Clothing,5.99,False,False
2092,Hanes Women's Slub Jersey Cotton Full Zip Hoodie,47325112,10.0,4.368,152,ONLINE_AND_STORE,Clothing,5.99,False,False
2093,Jerzees Boys' Pill-Resistant Performance Fleece Crew Sweatshirt,54734386,4.97,4.0,1,ONLINE_ONLY,Clothing,5.99,False,False
2094,Brahma Men's Raid Steel Toe Work Boot,50271241,16.0,3.833,6,ONLINE_AND_STORE,Clothing,5.99,True,False
2095,"""Brahma Unisex Owden 6"""" Work Boot""",29335332,20.0,3.6,40,ONLINE_AND_STORE,Clothing,5.99,True,False
2096,"""Brahma Men's Escott 6"""" Work Boot""",50922583,15.0,2.667,18,ONLINE_AND_STORE,Clothing,5.99,True,False
2097,Genuine Dickies Men's JobRated Brawn Waterproof Work Boot,28858380,79.0,4.07,43,ONLINE_AND_STORE,Clothing,0.0,True,False
2098,Brahma Men's Ronnie Pull On Work Boot,50922099,36.47,5.0,2,ONLINE_AND_STORE,Clothing,0.0,True,False
2099,Genuine Dickies Men's JobRated Truxx Waterproof Work Boot,28858547,64.98,3.733,45,ONLINE_AND_STORE,Clothing,0.0,False,False
2100,"""Brahma Men's Alpha Steel Toe Waterproof 6"""" Work Boot""",50270202,35.0,3.5,10,ONLINE_AND_STORE,Clothing,0.0,True,False
2101,"""Brahma Men's Hubert Waterproof 6"""" Work Boot""",50270396,35.0,1.571,7,ONLINE_AND_STORE,Clothing,0.0,True,False
2102,Genuine Dickies Men's JobRated Maxx Waterproof Work Boot,43160403,110.0,3.625,16,ONLINE_AND_STORE,Clothing,0.0,False,False
2103,Brahma Men's Bay Steel Toe Pull On Work Boot,50644611,46.97,3.833,6,ONLINE_AND_STORE,Clothing,0.0,True,False
2104,Danskin Now Women's Dri-More Core Relaxed Fit Yoga Pants available in Regular and Petite,17353253,14.0,4.439,984,ONLINE_AND_STORE,Clothing,5.99,True,False
2105,Athletic Works Women's Active Knit Pant Available in Regular and Petite,852838408,9.96,4.632,133,ONLINE_AND_STORE,Clothing,5.99,True,False
2106,Danskin Now Women's Dri-More Core Piped Bermuda Shorts,15066220,12.0,4.595,299,ONLINE_ONLY,Clothing,5.99,True,False
2107,Danskin Now Women's Dri-More Core Shelf-Bra Racerback Tank,12535900,8.0,4.512,541,ONLINE_AND_STORE,Clothing,5.99,True,False
2108,Faded Glory Women's Belted Woven Shirt Dress,50171732,8.0,4.0,1,ONLINE_AND_STORE,Clothing,5.99,False,False
2109,Hanes Women's Essential Crewneck Fleece Pullover Sweatshirt,52380966,4.0,1.0,1,ONLINE_AND_STORE,Clothing,5.99,False,False
2110,Hanes Women's Fleece V-Notch Sweatshirt,45585052,5.96,4.022,551,ONLINE_AND_STORE,Clothing,5.99,False,False
2111,Gildan Women's Fleece Sweatshirt,48181030,9.0,4.25,4,ONLINE_ONLY,Clothing,5.99,False,False
2112,Gildan Women's Full Zip Fleece Hoodie,48181086,12.0,5.0,2,ONLINE_ONLY,Clothing,5.99,False,False
2113,Danskin Now Women's Plus-Size Active Tank,54268455,5.98,5.0,1,ONLINE_AND_STORE,Clothing,5.99,False,False
2114,Danskin Now Women's Plus Size Active Graphic Tank,681647886,7.93,5.0,1,ONLINE_AND_STORE,Clothing,5.99,False,False
2115,Just My Size Women's Plus Active Graphic Muscle Tank,55533503,10.0,4.333,12,ONLINE_ONLY,Clothing,5.99,True,False
2116,Danskin Now Women's Plus-Size Dri-More Capri Core Legging,38243001,11.96,4.25,28,ONLINE_ONLY,Clothing,5.99,False,False
2117,24/7 Comfort Apparel Women's Plus Size T-shirt Dress,52785463,19.98,5.0,2,ONLINE_ONLY,Clothing,5.99,False,False
2118,24/7 Comfort Apparel Women's Plus Size Maxi Dress,52786224,29.99,1.0,1,ONLINE_ONLY,Clothing,5.99,False,False
2119,Swiss Tech Women's Plus-Size Long Hooded Puffer Jacket,274128917,22.0,5.0,1,ONLINE_ONLY,Clothing,5.99,False,False
2120,Big Chill Women's Plus Size Long Belted Down Blend Coat,56080998,16.0,4.333,3,ONLINE_ONLY,Clothing,5.99,False,False
2121,Lifestyle Attitude Women's Plus Capri Print Pants,55636108,7.99,5.0,2,ONLINE_ONLY,Clothing,5.99,False,False
2122,George Women's Plus-Size Ponte Suiting Jacket,37404231,21.87,4.0,10,ONLINE_ONLY,Clothing,5.99,True,False
2123,Danskin Now Women's Plus Size Dri-More Core Racerback Shelf-Bra Tank,12546297,8.96,4.008,130,ONLINE_ONLY,Clothing,5.99,False,False
2124,Just My Size Women's Plus Active Graphic Muscle Tank,55533503,10.0,4.333,12,ONLINE_ONLY,Clothing,5.99,True,False
2125,Just My Size Women's Plus-Size Stretch Jersey Capri Legging,47575596,8.98,4.233,60,ONLINE_AND_STORE,Clothing,5.99,False,False
2126,Just My Size Women's Plus-Size Fleece Sweatshirt,55483756,8.0,3.325,80,ONLINE_ONLY,Clothing,5.99,False,False
